taxid	rank	name	childcount	min	max	mode	median	mean	stddev	sum16slist
1386	genus	Bacillus	803	1	21	9	10	10.33	2.43	[7, 13, 11, 12, 11, 7, 11, 14, 10, 7, 8, 13, 7, 13, 14, 9, 13, 7, 14, 14, 14, 13, 11, 12, 14, 11, 11, 12, 14, 11, 8, 7, 10, 10, 13, 6, 10, 7, 10, 9, 7, 11, 10, 10, 12, 10, 12, 10, 10, 9, 14, 10, 10, 13, 12, 14, 10, 11, 10, 8, 15, 14, 9, 10, 17, 9, 12, 13, 9, 10, 9, 7, 10, 9, 1, 9, 10, 9, 12, 10, 15, 10, 11, 11, 10, 10, 8, 10, 8, 14, 7, 13, 10, 10, 8, 7, 14, 9, 10, 7, 7, 11, 14, 11, 12, 14, 7, 7, 7, 9, 1, 7, 10, 10, 13, 8, 14, 9, 9, 9, 10, 13, 14, 14, 10, 11, 11, 14, 11, 14, 11, 11, 12, 11, 10, 10, 10, 13, 11, 13, 14, 14, 14, 14, 14, 11, 13, 8, 14, 11, 14, 11, 11, 13, 8, 13, 11, 7, 6, 10, 13, 10, 10, 8, 10, 11, 7, 8, 8, 7, 14, 10, 9, 9, 10, 13, 10, 10, 10, 11, 14, 14, 13, 8, 10, 13, 7, 6, 12, 10, 9, 14, 1, 7, 10, 11, 12, 8, 9, 10, 8, 14, 8, 8, 8, 9, 9, 14, 8, 7, 8, 13, 10, 13, 16, 15, 13, 12, 9, 14, 11, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 12, 9, 7, 15, 10, 7, 10, 10, 8, 9, 10, 12, 10, 14, 14, 9, 8, 10, 10, 9, 10, 14, 13, 5, 8, 9, 10, 9, 13, 11, 9, 9, 9, 10, 10, 8, 8, 10, 8, 9, 11, 8, 8, 8, 15, 15, 14, 11, 9, 14, 9, 13, 12, 13, 10, 9, 8, 9, 10, 14, 8, 8, 8, 8, 8, 10, 14, 7, 15, 9, 9, 11, 10, 9, 8, 10, 8, 10, 9, 9, 10, 10, 13, 8, 12, 9, 14, 12, 10, 10, 8, 10, 10, 9, 11, 8, 14, 14, 14, 14, 10, 13, 9, 14, 14, 14, 8, 9, 9, 9, 8, 12, 15, 7, 13, 13, 13, 12, 13, 13, 13, 13, 13, 13, 10, 10, 8, 10, 11, 14, 10, 9, 9, 11, 8, 8, 8, 8, 7, 9, 14, 8, 9, 8, 7, 9, 9, 7, 15, 13, 9, 9, 8, 9, 9, 10, 9, 9, 10, 8, 9, 11, 10, 8, 8, 14, 14, 9, 9, 9, 9, 9, 13, 14, 9, 14, 8, 9, 9, 8, 9, 9, 9, 9, 9, 9, 10, 9, 11, 8, 9, 9, 9, 10, 8, 9, 14, 14, 12, 9, 9, 14, 9, 9, 14, 8, 9, 14, 7, 8, 9, 1, 9, 14, 14, 10, 10, 10, 10, 11, 10, 10, 10, 10, 11, 9, 11, 19, 13, 10, 7, 9, 11, 11, 14, 9, 6, 9, 9, 8, 12, 14, 9, 18, 10, 8, 13, 14, 10, 10, 10, 10, 10, 10, 9, 8, 9, 7, 8, 9, 10, 10, 8, 10, 8, 10, 10, 10, 10, 10, 9, 9, 10, 10, 9, 10, 10, 10, 9, 8, 10, 8, 10, 9, 9, 10, 14, 14, 10, 9, 9, 9, 8, 7, 14, 9, 14, 14, 12, 14, 10, 10, 10, 8, 14, 14, 10, 8, 10, 7, 10, 10, 13, 8, 10, 13, 15, 10, 10, 14, 14, 14, 9, 9, 9, 8, 13, 10, 10, 10, 10, 9, 8, 9, 9, 7, 9, 8, 9, 11, 14, 8, 9, 14, 14, 13, 14, 8, 9, 15, 9, 9, 9, 14, 7, 9, 10, 9, 14, 14, 9, 9, 10, 14, 9, 11, 12, 8, 14, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8, 10, 10, 10, 9, 9, 7, 14, 9, 15, 14, 14, 14, 14, 8, 9, 14, 10, 11, 11, 11, 11, 11, 11, 9, 9, 9, 10, 11, 14, 10, 10, 9, 13, 10, 10, 9, 9, 9, 9, 9, 10, 9, 9, 9, 10, 10, 10, 10, 9, 9, 9, 10, 9, 13, 9, 8, 12, 9, 9, 10, 14, 9, 9, 10, 10, 1, 9, 21, 9, 11, 9, 10, 10, 10, 10, 8, 10, 14, 12, 9, 9, 11, 14, 14, 13, 9, 9, 14, 14, 14, 14, 13, 14, 11, 13, 13, 14, 13, 14, 8, 10, 8, 9, 14, 14, 10, 14, 10, 9, 9, 10, 15, 10, 14, 9, 10, 8, 15, 9, 9, 9, 8, 10, 10, 9, 10, 9, 9, 14, 2, 10, 8, 8, 10, 8, 14, 9, 10, 8, 9, 9, 9, 9, 13, 9, 9, 9, 9, 9, 13, 9, 10, 12, 9, 14, 9, 10, 8, 8, 9, 9, 9, 10, 1, 10, 13, 10, 10, 14, 9, 9, 9, 8, 14, 14, 13, 10, 9, 12, 8, 9, 10, 1, 9, 8, 8, 9, 8, 7, 8]
	genus	Escherichia/Shigella	1518	1	11	7	7.0	7.00	0.27	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 9, 10, 8, 9, 11, 7, 7, 10, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 6, 6, 6, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
2184	genus	Methanococcus	12	2	4	2	2.5	2.58	0.64	[2, 3, 3, 4, 2, 3, 3, 2, 2, 2, 3, 2]
1716	genus	Corynebacterium	285	1	7	4	4	4.32	0.81	[3, 6, 5, 6, 3, 3, 3, 4, 4, 4, 4, 3, 6, 5, 6, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 4, 4, 3, 4, 7, 6, 6, 6, 5, 4, 6, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 6, 6, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 6, 4, 4, 4, 4, 4, 4, 6, 4, 4, 4, 4, 5, 4, 4, 4, 3, 6, 4, 4, 4, 4, 6, 4, 5, 4, 4, 4, 6, 5, 4, 4, 4, 4, 6, 5, 4, 4, 4, 4, 4, 6, 6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 6, 5, 4, 4, 5, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 5, 4, 4, 4, 6, 5, 6, 6, 6, 4, 6, 6, 4, 4, 4, 5, 6, 6, 4, 4, 4, 4, 4, 4, 4, 5, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 4, 6, 6, 4, 5, 4, 4, 4, 4, 4, 3, 4, 4, 5, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 3, 4, 3, 3, 4, 1, 5, 4, 4, 4, 4, 3, 5, 4, 3, 3, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 4, 4, 4, 5]
2129	genus	Ureaplasma	12	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
629	genus	Yersinia	127	6	9	7	7	6.92	0.41	[7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 7, 7, 7, 6, 7, 7, 6, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 9, 7, 7, 7, 7, 7, 7, 6, 7, 6, 9, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
810	genus	Chlamydia	144	1	3	2	2.0	1.79	0.45	[2, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 3, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1, 1, 2, 1, 1, 2, 2, 2, 2, 2, 1, 1, 1]
2370	genus	Xylella	27	2	2	2	2	2.00	0.00	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
662	genus	Vibrio	333	6	15	12	10	10.38	1.65	[8, 9, 8, 11, 7, 8, 7, 11, 9, 8, 7, 7, 9, 11, 7, 9, 8, 11, 11, 12, 11, 7, 10, 8, 8, 6, 9, 12, 11, 10, 8, 10, 8, 7, 8, 10, 7, 10, 10, 8, 12, 12, 7, 12, 10, 11, 11, 11, 10, 12, 9, 14, 11, 11, 11, 10, 11, 9, 9, 12, 12, 12, 12, 13, 10, 13, 9, 11, 9, 12, 10, 8, 12, 12, 9, 11, 8, 9, 10, 9, 8, 9, 10, 10, 12, 12, 11, 14, 12, 12, 9, 12, 12, 14, 12, 12, 12, 12, 12, 12, 12, 12, 7, 12, 7, 8, 11, 13, 9, 10, 10, 9, 11, 13, 9, 10, 8, 8, 9, 11, 10, 9, 8, 10, 8, 9, 8, 10, 12, 11, 12, 12, 9, 12, 12, 12, 7, 12, 11, 10, 12, 13, 12, 12, 9, 9, 12, 11, 10, 10, 12, 12, 9, 11, 12, 15, 11, 11, 9, 12, 11, 11, 9, 10, 10, 12, 12, 12, 12, 12, 11, 9, 9, 10, 12, 13, 9, 12, 11, 10, 14, 12, 10, 12, 13, 10, 9, 12, 11, 12, 13, 13, 9, 11, 9, 8, 9, 10, 11, 9, 10, 10, 12, 9, 10, 11, 11, 11, 12, 11, 11, 12, 10, 10, 10, 10, 10, 9, 12, 10, 10, 12, 12, 9, 10, 8, 12, 12, 12, 10, 10, 12, 12, 12, 12, 11, 11, 12, 10, 10, 10, 10, 12, 9, 10, 11, 9, 12, 10, 10, 10, 9, 9, 9, 10, 10, 12, 12, 11, 11, 9, 10, 10, 8, 12, 12, 11, 11, 12, 10, 12, 12, 11, 6, 11, 10, 11, 8, 12, 11, 12, 12, 12, 12, 12, 9, 9, 8, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 12, 12, 12, 12, 13, 8, 8, 11, 11, 12, 12, 11, 15, 10, 9, 9, 10, 11, 12, 10, 8, 6, 9, 9, 9, 9, 7]
286	genus	Pseudomonas	728	1	9	4	5.0	4.96	1.17	[4, 7, 5, 5, 5, 5, 5, 6, 4, 4, 4, 6, 4, 7, 7, 7, 4, 5, 5, 5, 5, 5, 7, 5, 4, 4, 4, 4, 6, 8, 4, 5, 6, 6, 6, 4, 4, 6, 4, 4, 4, 6, 4, 7, 7, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 7, 5, 4, 5, 5, 5, 5, 5, 8, 7, 6, 4, 4, 4, 7, 7, 4, 5, 4, 6, 4, 6, 7, 6, 4, 1, 5, 4, 5, 4, 4, 5, 5, 6, 4, 6, 6, 6, 5, 4, 6, 4, 4, 5, 4, 4, 6, 4, 7, 5, 6, 6, 5, 6, 4, 5, 5, 7, 7, 5, 4, 4, 4, 5, 5, 4, 8, 6, 5, 4, 5, 4, 4, 5, 6, 7, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 7, 4, 4, 5, 6, 6, 4, 4, 4, 6, 5, 5, 4, 3, 5, 5, 4, 5, 4, 7, 4, 6, 6, 4, 5, 6, 7, 6, 6, 7, 4, 4, 8, 5, 5, 1, 1, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 6, 4, 6, 4, 4, 4, 4, 4, 7, 4, 7, 4, 4, 4, 5, 5, 5, 4, 7, 5, 5, 7, 5, 5, 6, 7, 6, 4, 3, 5, 4, 4, 4, 4, 4, 8, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 7, 6, 5, 5, 7, 4, 4, 4, 6, 7, 7, 7, 6, 4, 7, 5, 6, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 7, 7, 4, 7, 9, 7, 6, 6, 7, 7, 5, 6, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 5, 4, 6, 4, 4, 4, 4, 4, 4, 6, 4, 4, 4, 4, 4, 6, 4, 4, 4, 6, 6, 4, 4, 6, 5, 4, 4, 4, 7, 4, 4, 6, 5, 4, 4, 4, 4, 4, 4, 5, 5, 4, 5, 5, 7, 4, 5, 8, 7, 5, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 7, 7, 5, 4, 4, 6, 4, 7, 7, 4, 4, 6, 4, 6, 4, 4, 6, 4, 7, 4, 4, 4, 5, 6, 6, 5, 7, 6, 6, 4, 4, 7, 5, 6, 7, 7, 4, 4, 5, 6, 6, 4, 4, 4, 4, 4, 7, 7, 4, 4, 4, 4, 4, 4, 5, 7, 5, 7, 4, 5, 4, 4, 5, 5, 5, 5, 6, 5, 4, 4, 4, 4, 3, 5, 6, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 5, 6, 4, 5, 5, 6, 7, 5, 6, 7, 5, 6, 7, 7, 6, 6, 4, 6, 7, 4, 4, 5, 7, 5, 6, 5, 4, 8, 5, 4, 7, 7, 4, 4, 4, 4, 5, 4, 7, 4, 4, 4, 5, 6, 5, 5, 6, 6, 6, 4, 5, 6, 7, 3, 3, 4, 4, 5, 4, 6, 4, 5, 5, 7, 4, 7, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 6, 8, 4, 7, 4, 4, 4, 4, 4, 4, 4, 6, 1, 5, 6, 4, 6, 4, 7, 5, 4, 4, 7, 7, 6, 4, 4, 6, 6, 4, 7, 4, 4, 5, 5, 5, 7, 7, 7, 7, 4, 5, 7, 4, 5, 6, 6, 6, 7, 4, 5, 5, 7, 7, 6, 4, 8, 8, 7, 7, 4, 4, 4, 4, 4, 8, 4, 4, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 7, 5, 4, 4, 5, 6, 4, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 6, 6, 5, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 7, 4, 4, 6, 4, 4, 5, 4, 8, 4, 5, 7, 4, 4, 4, 4, 4, 4]
